"Page rating (desc)",URL,"Organic traffic","HTTP status code",Depth,Title,"Title length","No. of titles","Is indexable page"
22,https://www.frauklinik.ru/faq/answer.php?id=344,0,200,4,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=15,0,200,4,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=725,0,200,10,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=371,0,200,10,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=317,0,200,10,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=247,0,200,10,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=157,0,200,10,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=80,0,200,11,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=78,0,200,11,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=75,0,200,11,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=104,0,200,11,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=178702,0,200,9,,0,1,Yes
22,https://www.frauklinik.ru/faq/answer.php?id=59,0,200,11,,0,1,Yes
