"Page rating",URL,"HTTP status code","Content type","Size (bytes) (desc)","Loading time (ms)","No. of IMG inlinks"
22,https://www.frauklinik.ru/photogallery/news/kongress_po_plast_hir_badak.png,200,image/png,3032520,258,1
22,https://www.frauklinik.ru/photogallery/doctors/tsukanov_b.png,200,image/png,2384540,297,2
22,https://www.frauklinik.ru/photogallery/news/baltiiskii_kongress_4.jpg,200,image/jpeg,2315167,251,1
22,https://www.frauklinik.ru/photogallery/mammologia/draw3.png,200,image/png,2306794,332,2
22,https://www.frauklinik.ru/photogallery/mammologia/draw4.png,200,image/png,2297967,297,2
22,https://www.frauklinik.ru/photogallery/mammologia/draw10.png,200,image/png,2266833,271,2
22,https://www.frauklinik.ru/photogallery/mammologia/fibroadenoma.png,200,image/png,1936541,257,1
22,https://www.frauklinik.ru/photogallery/doctors/spolohova_b.png,200,image/png,1784125,299,2
22,https://www.frauklinik.ru/photogallery/news/baltiiskii_kongress_1.jpg,200,image/jpeg,1750101,260,1
22,https://www.frauklinik.ru/photogallery/doctors/f_zade_b_full.png,200,image/png,1650917,255,2
22,https://www.frauklinik.ru/photogallery/doctors/vishipanova_b.png,200,image/png,1638580,256,2
22,https://www.frauklinik.ru/photogallery/doctors/muklakova_b.png,200,image/png,1621295,291,2
22,https://www.frauklinik.ru/photogallery/news/star_hit_kopasov.png,200,image/png,1592497,251,1
22,https://www.frauklinik.ru/photogallery/doctors/tsvetova_b.png,200,image/png,1576082,302,2
22,https://www.frauklinik.ru/photogallery/social/story_strig/1.png,200,image/png,1572052,253,1
22,https://www.frauklinik.ru/photogallery/plast-hir/scar_facelifting.png,200,image/png,1532162,258,1
22,https://www.frauklinik.ru/photogallery/doctors/shaforostova_b.png,200,image/png,1521043,306,2
22,https://www.frauklinik.ru/photogallery/doctors/kalinina_b_full.png,200,image/png,1514938,305,2
22,https://www.frauklinik.ru/photogallery/social/blog/spolohova.png,200,image/png,1499660,314,1
22,https://www.frauklinik.ru/photogallery/doctors/zavalko_oksana.png,200,image/png,1496538,279,2
22,https://www.frauklinik.ru/photogallery/social/pressa/sara_1.png,200,image/png,1489705,262,1
22,https://www.frauklinik.ru/photogallery/mammologia/tec_p_5.png,200,image/png,1483934,344,2
22,https://www.frauklinik.ru/photogallery/doctors/mamzin_b.png,200,image/png,1478077,299,2
22,https://www.frauklinik.ru/photogallery/social/story_shidlovskaya/4.jpg,200,image/jpeg,1439342,255,2
22,https://www.frauklinik.ru/photogallery/news/baltiiskii_kongress_2.jpg,200,image/jpeg,1425530,247,1
22,https://www.frauklinik.ru/photogallery/doctors/davydov_b.png,200,image/png,1394129,268,2
22,https://www.frauklinik.ru/photogallery/social/av_1.png,200,image/png,1372040,267,1
22,https://www.frauklinik.ru/photogallery/social/pressa/kz_jons.png,200,image/png,1368550,269,1
22,https://www.frauklinik.ru/photogallery/social/pressa/lo_1.png,200,image/png,1344390,241,1
22,https://www.frauklinik.ru/photogallery/cosmet/juvederm_ultra.png,200,image/png,1322153,277,1
22,https://www.frauklinik.ru/photogallery/mammologia/tec_p_6.png,200,image/png,1308414,469,2
22,https://www.frauklinik.ru/photogallery/mammologia/sect1.png,200,image/png,1252141,259,1
22,https://www.frauklinik.ru/photogallery/doctors/vishipanova.png,200,image/png,1251419,268,3
22,https://www.frauklinik.ru/photogallery/social/pressa/melanya_1.png,200,image/png,1212568,291,1
22,https://www.frauklinik.ru/photogallery/social/pressa/salma_1.png,200,image/png,1206491,328,1
22,https://www.frauklinik.ru/photogallery/social/d_mcghan_igor_vulf.png,200,image/png,1197538,299,2
22,https://www.frauklinik.ru/photogallery/doctors/podolskaya.png,200,image/png,1154368,292,3
22,https://www.frauklinik.ru/photogallery/news/kongress_po_plast_hir_2.png,200,image/png,1152653,247,1
22,https://www.frauklinik.ru/photogallery/news/mk2204.png,200,image/png,1147296,258,1
22,https://www.frauklinik.ru/photogallery/doctors/samb_b.jpg,200,image/jpeg,1131502,257,2
22,https://www.frauklinik.ru/photogallery/news/congress_3.png,200,image/png,1126563,252,1
22,https://www.frauklinik.ru/photogallery/social/blog/blokhin/nikolaeva.png,200,image/png,1099469,259,1
22,https://www.frauklinik.ru/photogallery/doctors/komis_b_full.jpg,200,image/jpeg,1096545,251,2
22,https://www.frauklinik.ru/photogallery/plast-hir/5.png,200,image/png,1091768,261,1
22,https://www.frauklinik.ru/photogallery/cosmet/botox/botox_shema.png,200,image/png,1067646,288,1
22,https://www.frauklinik.ru/photogallery/news/congress_2.png,200,image/png,1052191,252,1
22,https://www.frauklinik.ru/photogallery/social/articles/shape/kopasov.png,200,image/png,1037863,314,1
22,https://www.frauklinik.ru/photogallery/doctors/wulf_b.png,200,image/png,1027562,258,2
22,https://www.frauklinik.ru/photogallery/doctors/chapk_b.jpg,200,image/jpeg,1021716,257,2
22,https://www.frauklinik.ru/photogallery/social/story_shturm/2.png,200,image/png,1002726,286,1
